Tag_A,Attr_A_Name,Attr_A_Value,Relationship,Rel_Att_Name_1,Rel_Att_Value_1,Rel_Att_Name_2,Rel_Att_Value_2,Tag_B,Attr_B_Name,Attr_B_Value
Seachannel,Name,Pernambuco Seachannel,Part_of,,,,,IHO_Sea_Area,Name,South Atlantic Ocean
Seachannel,Name,Trindade Seachannel,Part_of,,,,,IHO_Sea_Area,Name,South Atlantic Ocean
Seachannel,Name,Loper Seachannel,Part_of,,,,,IHO_Sea_Area,Name,Southern Ocean
General_Sea_Area,Name,South West Indian Ocean,Part_of,,,,,IHO_Sea_Area,Name,Indian Ocean
General_Sea_Area,Name,West Indian Ocean,Part_of,,,,,IHO_Sea_Area,Name,Indian Ocean
General_Sea_Area,Name,Northern Adriatic Sea,Part_of,,,,,IHO_Sea_Area,Name,Adriatic Sea
General_Sea_Area,Name,European Marine Waters,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
General_Sea_Area,Name,European Marine Waters,Part_of,,,,,General_Sea_Area,Name,Mediterranean Sea Area
General_Sea_Area,Name,North West Atlantic,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
General_Sea_Area,Name,North West Atlantic,Similar_to,,,,,General_Sea_Area,Name,Western North Atlantic
Seachannel,Name,Vema Seachannel,Part_of,,,,,IHO_Sea_Area,Name,South Atlantic Ocean
Seachannel,Name,Bounty Seachannel,Part_of,,,,,IHO_Sea_Area,Name,South Pacific Ocean
Seachannel,Name,Hikurangi Seachannel,Part_of,,,,,IHO_Sea_Area,Name,South Pacific Ocean
Seachannel,Name,Arafura Seachannel,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
Seachannel,Name,Aru Seachannel,Part_of,,,,,General_Sea_Area,Name,South China and Eastern Archipelagic Seas
Seachannel,Name,Moresby Seachannel,Part_of,,,,,IHO_Sea_Area,Name,North Pacific Ocean
Seachannel,Name,Taurus Seachannel,Part_of,,,,,IHO_Sea_Area,Name,North Pacific Ocean
Seachannel,Name,Aquarius Seachannel,Part_of,,,,,IHO_Sea_Area,Name,North Pacific Ocean
Seachannel,Name,Sagittarius Seachannel,Part_of,,,,,IHO_Sea_Area,Name,North Pacific Ocean
Seachannel,Name,Ardencaple Seachannel,Part_of,,,,,IHO_Sea_Area,Name,Greenland Sea
Seachannel,Name,Baranov Seachannel,Part_of,,,,,IHO_Sea_Area,Name,North Pacific Ocean
General_Sea_Area,Name,Off Termonfeckin,Part_of,,,,,IHO_Sea_Area,Name,Irish Sea and St. George's Channel
General_Sea_Area,Name,Off Malahide,Part_of,,,,,IHO_Sea_Area,Name,Irish Sea and St. George's Channel
General_Sea_Area,Name,Off Howth,Part_of,,,,,IHO_Sea_Area,Name,Irish Sea and St. George's Channel
General_Sea_Area,Name,Off Galley Head,Part_of,,,,,IHO_Sea_Area,Name,Celtic Sea
General_Sea_Area,Name,Off Kinsale,Part_of,,,,,IHO_Sea_Area,Name,Celtic Sea
General_Sea_Area,Name,Off Glandore,Part_of,,,,,IHO_Sea_Area,Name,Celtic Sea
General_Sea_Area,Name,Off Ballycotton,Part_of,,,,,IHO_Sea_Area,Name,Celtic Sea
General_Sea_Area,Name,Off Dursey Head,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
General_Sea_Area,Name,Off Mayo Coast,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
General_Sea_Area,Name,Off Donegal Bay,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
General_Sea_Area,Name,Irish North Coast,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
General_Sea_Area,Name,North West Irish Sea,Part_of,,,,,IHO_Sea_Area,Name,Irish Sea and St. George's Channel
General_Sea_Area,Name,Off Fastnet,Part_of,,,,,IHO_Sea_Area,Name,Celtic Sea
General_Sea_Area,Name,Off Kerry Coast,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
General_Sea_Area,Name,Off Dingle Bay,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
General_Sea_Area,Name,West Shannon,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
General_Sea_Area,Name,West Clew Bay,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
General_Sea_Area,Name,Off Achill Head,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
General_Sea_Area,Name,Off Portstewart,Part_of,,,,,IHO_Sea_Area,Name,Inner Seas off the West Coast of Scotland
General_Sea_Area,Name,Brattegard zone 1,Part_of,,,,,IHO_Sea_Area,Name,Skagerrak
General_Sea_Area,Name,Brattegard zone 1,Adjacent_to,,,,,Nation,Name,Norway
General_Sea_Area,Name,Brattegard zone 2,Part_of,,,,,IHO_Sea_Area,Name,Skagerrak
General_Sea_Area,Name,Brattegard zone 2,Adjacent_to,,,,,Nation,Name,Norway
General_Sea_Area,Name,Brattegard zone 3,Part_of,,,,,IHO_Sea_Area,Name,Skagerrak
